,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
TRAV21_CD8 T-Cell,0,11.79819156248,0.999,0.001,0,TRAV21,CD8 T-Cell,Cl_1_3,TRUE
TRBV5-1_CD8 T-Cell,0,-11.9596560723552,0.004,1,0,TRBV5-1,CD8 T-Cell,Cl_1_3,TRUE
TRBV27_CD8 T-Cell,0,11.1985630672078,1,0.005,0,TRBV27,CD8 T-Cell,Cl_1_3,TRUE
TRAV29DV5_CD8 T-Cell,0,-11.1428728329902,0.001,0.992,0,TRAV29DV5,CD8 T-Cell,Cl_1_3,TRUE
TRAV39_CD8 T-Cell,0,10.8261726211789,0.9,0.002,0,TRAV39,CD8 T-Cell,Cl_1_3,TRUE
LYAR_CD8 T-Cell,0,-3.79852819893633,0.133,0.883,0,LYAR,CD8 T-Cell,Cl_1_3,TRUE
TRBC1_CD8 T-Cell,0,-8.08162009421918,0.005,0.754,0,TRBC1,CD8 T-Cell,Cl_1_3,TRUE
KLRG1_CD8 T-Cell,0,-4.04614351712999,0.088,0.803,0,KLRG1,CD8 T-Cell,Cl_1_3,TRUE
ITGB1_CD8 T-Cell,0,4.33162006921065,0.888,0.181,0,ITGB1,CD8 T-Cell,Cl_1_3,TRUE
LINC01934_CD8 T-Cell,0,-2.93321119953141,0.238,0.922,0,LINC01934,CD8 T-Cell,Cl_1_3,TRUE
LAG3_CD8 T-Cell,0,-3.4503749819739,0.106,0.72,0,LAG3,CD8 T-Cell,Cl_1_3,TRUE
HLA-DQA1_CD8 T-Cell,0,3.69393507563511,0.965,0.374,0,HLA-DQA1,CD8 T-Cell,Cl_1_3,TRUE
HLA-DQB1_CD8 T-Cell,0,3.19036729997783,0.94,0.433,0,HLA-DQB1,CD8 T-Cell,Cl_1_3,TRUE
HLA-DRA_CD8 T-Cell,0,3.25766837787771,0.974,0.484,0,HLA-DRA,CD8 T-Cell,Cl_1_3,TRUE
HLA-DRB1_CD8 T-Cell,0,2.52493407006608,0.999,0.908,0,HLA-DRB1,CD8 T-Cell,Cl_1_3,TRUE
CD74_CD8 T-Cell,0,1.39293186685706,1,0.998,0,CD74,CD8 T-Cell,Cl_1_3,TRUE
LINC02446_CD8 T-Cell,7.55656918709482e-290,5.42070894243042,0.816,0.052,2.76585545386045e-285,LINC02446,CD8 T-Cell,Cl_1_3,TRUE
APBB1IP_CD8 T-Cell,1.04751309022058e-266,-3.51981034127774,0.049,0.565,3.83410741282537e-262,APBB1IP,CD8 T-Cell,Cl_1_3,TRUE
GNLY_CD8 T-Cell,6.10940987348412e-257,2.7171535554782,0.926,0.427,2.23616620189266e-252,GNLY,CD8 T-Cell,Cl_1_3,TRUE
HLA-DPA1_CD8 T-Cell,1.70386310887336e-252,1.67871020067554,0.974,0.844,6.23647975109829e-248,HLA-DPA1,CD8 T-Cell,Cl_1_3,TRUE
HLA-DPB1_CD8 T-Cell,1.84748234989568e-234,1.55516034980769,0.97,0.849,6.76215489708816e-230,HLA-DPB1,CD8 T-Cell,Cl_1_3,TRUE
PZP_CD8 T-Cell,2.10182697119454e-227,-4.69108904671749,0.018,0.415,7.69310707996626e-223,PZP,CD8 T-Cell,Cl_1_3,TRUE
TIMD4_CD8 T-Cell,3.13984642874788e-224,-6.00739556940149,0.008,0.375,1.1492465898503e-219,TIMD4,CD8 T-Cell,Cl_1_3,TRUE
SLC35D2_CD8 T-Cell,8.03221063629318e-212,-6.83469284179524,0.003,0.338,2.93994973709603e-207,SLC35D2,CD8 T-Cell,Cl_1_3,TRUE
A2M_CD8 T-Cell,2.84081373379986e-209,-4.48975355381934,0.018,0.39,1.03979464284543e-204,A2M,CD8 T-Cell,Cl_1_3,TRUE
RPS19_CD8 T-Cell,3.01416277996175e-203,-0.815723683447115,0.996,1,1.1032438607216e-198,RPS19,CD8 T-Cell,Cl_1_3,TRUE
CD7_CD8 T-Cell,1.4167530399316e-200,-2.26509585632776,0.272,0.772,5.18559947675764e-196,CD7,CD8 T-Cell,Cl_1_3,TRUE
PLCG2_CD8 T-Cell,1.80430880350591e-178,-4.38888786159033,0.017,0.344,6.60413108259232e-174,PLCG2,CD8 T-Cell,Cl_1_3,TRUE
HAVCR2_CD8 T-Cell,1.57274597797301e-177,-4.04318976043661,0.023,0.361,5.75656482857681e-173,HAVCR2,CD8 T-Cell,Cl_1_3,TRUE
CXCR6_CD8 T-Cell,2.9995915411215e-176,-4.03395587125247,0.03,0.379,1.09791049588129e-171,CXCR6,CD8 T-Cell,Cl_1_3,TRUE
SIRPG_CD8 T-Cell,3.93694992790455e-176,-2.32813239567352,0.149,0.627,1.44100241261162e-171,SIRPG,CD8 T-Cell,Cl_1_3,TRUE
GIMAP4_CD8 T-Cell,2.06023323418655e-174,-2.43660695427699,0.162,0.636,7.5408656837696e-170,GIMAP4,CD8 T-Cell,Cl_1_3,TRUE
LGALS3_CD8 T-Cell,9.12554835128264e-172,2.31770856407723,0.792,0.388,3.34013320753647e-167,LGALS3,CD8 T-Cell,Cl_1_3,TRUE
CD52_CD8 T-Cell,1.64034736363245e-158,-1.01985581924089,0.906,0.997,6.00399942036749e-154,CD52,CD8 T-Cell,Cl_1_3,TRUE
DTHD1_CD8 T-Cell,5.9689383308736e-156,-4.15589271265091,0.013,0.299,2.18475080786636e-151,DTHD1,CD8 T-Cell,Cl_1_3,TRUE
CHI3L2_CD8 T-Cell,8.73271153725628e-152,-3.43920561360626,0.037,0.364,3.19634707686654e-147,CHI3L2,CD8 T-Cell,Cl_1_3,TRUE
SETBP1_CD8 T-Cell,4.50409527991688e-151,-5.33956493785406,0.006,0.262,1.64858895435518e-146,SETBP1,CD8 T-Cell,Cl_1_3,TRUE
RPLP0_CD8 T-Cell,1.26527746927045e-150,-0.796412123830136,0.981,0.997,4.63116859302371e-146,RPLP0,CD8 T-Cell,Cl_1_3,TRUE
IFITM1_CD8 T-Cell,6.39152703697781e-150,-1.02040219741269,0.9,0.997,2.33942672607462e-145,IFITM1,CD8 T-Cell,Cl_1_3,TRUE
TESC_CD8 T-Cell,5.41128085731695e-144,-3.82176696859969,0.023,0.312,1.98063701939515e-139,TESC,CD8 T-Cell,Cl_1_3,TRUE
HLA-DMA_CD8 T-Cell,2.04117128396854e-143,1.99975514489344,0.776,0.453,7.47109513358167e-139,HLA-DMA,CD8 T-Cell,Cl_1_3,TRUE
MT2A_CD8 T-Cell,1.07280634845886e-141,-1.77125808560031,0.386,0.804,3.92668579662911e-137,MT2A,CD8 T-Cell,Cl_1_3,TRUE
STOM_CD8 T-Cell,1.00068363547653e-136,-3.34561265033191,0.03,0.323,3.66270224257118e-132,STOM,CD8 T-Cell,Cl_1_3,TRUE
IFITM2_CD8 T-Cell,2.01962657955552e-134,-1.40309143477423,0.528,0.887,7.39223720648911e-130,IFITM2,CD8 T-Cell,Cl_1_3,TRUE
GIMAP7_CD8 T-Cell,2.18015330245842e-134,-1.87254994934011,0.267,0.694,7.9797971176583e-130,GIMAP7,CD8 T-Cell,Cl_1_3,TRUE
FUT7_CD8 T-Cell,3.6924730690892e-133,7.92061723709593,0.476,0.006,1.35151899274803e-128,FUT7,CD8 T-Cell,Cl_1_3,TRUE
TRPS1_CD8 T-Cell,1.20236079983967e-132,-3.45591301667983,0.03,0.315,4.40088099957315e-128,TRPS1,CD8 T-Cell,Cl_1_3,TRUE
PECAM1_CD8 T-Cell,6.93907621208942e-130,-1.89160977286003,0.178,0.602,2.53984067514897e-125,PECAM1,CD8 T-Cell,Cl_1_3,TRUE
TXK_CD8 T-Cell,5.20431791582714e-122,-3.98737464053573,0.015,0.253,1.90488444355105e-117,TXK,CD8 T-Cell,Cl_1_3,TRUE
NPDC1_CD8 T-Cell,2.4826049564216e-121,-2.26001511707703,0.094,0.445,9.08683066149434e-117,NPDC1,CD8 T-Cell,Cl_1_3,TRUE
AL589693.1_CD8 T-Cell,2.50740118074253e-116,6.56742878502834,0.439,0.01,9.17758980175382e-112,AL589693.1,CD8 T-Cell,Cl_1_3,TRUE
ARID5B_CD8 T-Cell,9.82498391574886e-116,-2.01244716936554,0.16,0.543,3.5961406128424e-111,ARID5B,CD8 T-Cell,Cl_1_3,TRUE
AKT3_CD8 T-Cell,1.57276737538035e-115,4.14232039416369,0.47,0.035,5.75664314736716e-111,AKT3,CD8 T-Cell,Cl_1_3,TRUE
IDH2_CD8 T-Cell,1.91412122999544e-115,-1.76481584911018,0.223,0.623,7.0060665260293e-111,IDH2,CD8 T-Cell,Cl_1_3,TRUE
SIM1_CD8 T-Cell,2.08015000173799e-115,7.53010328292705,0.428,0.003,7.61376503636139e-111,SIM1,CD8 T-Cell,Cl_1_3,TRUE
GIMAP5_CD8 T-Cell,2.13674354907697e-114,-2.05703875378837,0.144,0.514,7.82090873833151e-110,GIMAP5,CD8 T-Cell,Cl_1_3,TRUE
RPL28_CD8 T-Cell,9.23561960708625e-114,-0.388122457586311,0.997,1,3.38042148858571e-109,RPL28,CD8 T-Cell,Cl_1_3,FALSE
CEP128_CD8 T-Cell,3.44910709055072e-113,2.420121125633,0.667,0.338,1.26244217728337e-108,CEP128,CD8 T-Cell,Cl_1_3,TRUE
CSTB_CD8 T-Cell,4.64622865364447e-110,-1.64565714873088,0.328,0.713,1.70061261180695e-105,CSTB,CD8 T-Cell,Cl_1_3,TRUE
TNIP3_CD8 T-Cell,7.58373581602915e-109,-2.69802366584404,0.051,0.331,2.77579898338299e-104,TNIP3,CD8 T-Cell,Cl_1_3,TRUE
RPLP1_CD8 T-Cell,5.07684806802443e-108,-0.448234134480098,0.996,1,1.8582279298583e-103,RPLP1,CD8 T-Cell,Cl_1_3,FALSE
LTB_CD8 T-Cell,2.36865880971028e-106,-1.13878167587708,0.557,0.918,8.66976497530157e-102,LTB,CD8 T-Cell,Cl_1_3,TRUE
LINC02694_CD8 T-Cell,9.63156440692195e-106,3.31195894034546,0.52,0.121,3.52534520422157e-101,LINC02694,CD8 T-Cell,Cl_1_3,TRUE
TOX2_CD8 T-Cell,3.28254883786353e-102,3.11517687941968,0.514,0.133,1.20147852563481e-97,TOX2,CD8 T-Cell,Cl_1_3,TRUE
PHACTR2_CD8 T-Cell,2.34973499205255e-101,-2.75731931903277,0.038,0.284,8.60050001791076e-97,PHACTR2,CD8 T-Cell,Cl_1_3,TRUE
MT1E_CD8 T-Cell,6.40869490830203e-101,-2.98718512086843,0.051,0.311,2.34571051033671e-96,MT1E,CD8 T-Cell,Cl_1_3,TRUE
CCR4_CD8 T-Cell,2.40280390285478e-100,4.00574508815998,0.439,0.046,8.79474284522906e-96,CCR4,CD8 T-Cell,Cl_1_3,TRUE
TIGIT_CD8 T-Cell,1.84414588299137e-98,-2.12059627696367,0.097,0.406,6.74994276092499e-94,TIGIT,CD8 T-Cell,Cl_1_3,TRUE
PREX1_CD8 T-Cell,2.11227233219298e-97,-1.70468949870175,0.141,0.495,7.73133919029275e-93,PREX1,CD8 T-Cell,Cl_1_3,TRUE
DUSP2_CD8 T-Cell,3.29626460540943e-97,-1.31876164858858,0.463,0.828,1.20649877087196e-92,DUSP2,CD8 T-Cell,Cl_1_3,TRUE
ALOX5AP_CD8 T-Cell,2.54306172252728e-94,2.32380469443865,0.595,0.242,9.30811451679434e-90,ALOX5AP,CD8 T-Cell,Cl_1_3,TRUE
GLIPR1_CD8 T-Cell,2.67885284762693e-94,-1.83263963954907,0.15,0.485,9.8051371928841e-90,GLIPR1,CD8 T-Cell,Cl_1_3,TRUE
CYTOR_CD8 T-Cell,9.6014684314962e-92,-1.32705156314147,0.372,0.736,3.51432947529624e-87,CYTOR,CD8 T-Cell,Cl_1_3,TRUE
DNAJB1_CD8 T-Cell,2.67927201152184e-91,-1.67183416607764,0.25,0.614,9.80667141657224e-87,DNAJB1,CD8 T-Cell,Cl_1_3,TRUE
MAL_CD8 T-Cell,3.06877719459615e-90,4.35191729487911,0.383,0.023,1.12323382876608e-85,MAL,CD8 T-Cell,Cl_1_3,TRUE
CSGALNACT1_CD8 T-Cell,1.71314500941119e-89,3.27014313371596,0.449,0.088,6.27045336344684e-85,CSGALNACT1,CD8 T-Cell,Cl_1_3,TRUE
RGS10_CD8 T-Cell,1.74667794039524e-88,-1.25348193896577,0.429,0.757,6.39319059743465e-84,RGS10,CD8 T-Cell,Cl_1_3,TRUE
GIMAP1_CD8 T-Cell,2.35544833533204e-87,-1.75327903841828,0.187,0.515,8.62141199698234e-83,GIMAP1,CD8 T-Cell,Cl_1_3,TRUE
LMNA_CD8 T-Cell,7.37283575904144e-87,6.75020703751031,0.345,0.003,2.69860534452435e-82,LMNA,CD8 T-Cell,Cl_1_3,TRUE
LINC00649_CD8 T-Cell,4.13207025030143e-86,-2.47408103924041,0.052,0.292,1.51242035301533e-81,LINC00649,CD8 T-Cell,Cl_1_3,TRUE
NIBAN1_CD8 T-Cell,5.65441609589379e-86,1.70547069894851,0.651,0.358,2.06962937941904e-81,NIBAN1,CD8 T-Cell,Cl_1_3,TRUE
BTG1_CD8 T-Cell,7.91786897086065e-86,0.717484777153271,0.984,0.974,2.89809840071441e-81,BTG1,CD8 T-Cell,Cl_1_3,TRUE
PATL2_CD8 T-Cell,8.26602431352834e-86,-1.81509372620145,0.144,0.461,3.02553021923764e-81,PATL2,CD8 T-Cell,Cl_1_3,TRUE
CTSW_CD8 T-Cell,5.06630969564703e-81,0.719948954878601,0.98,0.967,1.85437067480072e-76,CTSW,CD8 T-Cell,Cl_1_3,TRUE
PDE4D_CD8 T-Cell,3.46991983942653e-80,-1.74800514351298,0.112,0.406,1.2700600596269e-75,PDE4D,CD8 T-Cell,Cl_1_3,TRUE
CD8B_CD8 T-Cell,1.81489809092691e-79,-1.18935618887157,0.54,0.809,6.64288999241069e-75,CD8B,CD8 T-Cell,Cl_1_3,TRUE
FYN_CD8 T-Cell,2.971932441529e-79,-1.11218811045755,0.493,0.793,1.08778671224844e-74,FYN,CD8 T-Cell,Cl_1_3,TRUE
RABGAP1L_CD8 T-Cell,2.47007676402945e-76,1.15767235205081,0.804,0.673,9.04097497170061e-72,RABGAP1L,CD8 T-Cell,Cl_1_3,TRUE
AQP3_CD8 T-Cell,1.24953231484452e-75,1.85385267070281,0.562,0.228,4.57353817879389e-71,AQP3,CD8 T-Cell,Cl_1_3,TRUE
CCR10_CD8 T-Cell,7.81152774964481e-75,6.8258425489021,0.309,0.006,2.85917538692499e-70,CCR10,CD8 T-Cell,Cl_1_3,TRUE
PTMS_CD8 T-Cell,8.07982445868831e-75,-1.47678084489666,0.178,0.491,2.9573773483691e-70,PTMS,CD8 T-Cell,Cl_1_3,TRUE
GAS7_CD8 T-Cell,1.15941909044275e-73,3.53159675383542,0.372,0.057,4.24370575483855e-69,GAS7,CD8 T-Cell,Cl_1_3,TRUE
HLA-DMB_CD8 T-Cell,1.54905587240072e-72,2.7912601190028,0.427,0.114,5.66985430416111e-68,HLA-DMB,CD8 T-Cell,Cl_1_3,TRUE
RPS24_CD8 T-Cell,1.91246473900552e-72,-0.367750495657138,0.993,1,7.000003437708e-68,RPS24,CD8 T-Cell,Cl_1_3,FALSE
ID2_CD8 T-Cell,4.19184733349956e-72,-2.36162449003802,0.046,0.253,1.53429996100751e-67,ID2,CD8 T-Cell,Cl_1_3,TRUE
PKIA_CD8 T-Cell,1.48305143580284e-71,2.66700408754842,0.427,0.114,5.42826486532556e-67,PKIA,CD8 T-Cell,Cl_1_3,TRUE
EFNA5_CD8 T-Cell,1.93001727267905e-70,4.75200145837638,0.323,0.026,7.06424922145985e-66,EFNA5,CD8 T-Cell,Cl_1_3,TRUE
ERN1_CD8 T-Cell,5.23304217903325e-70,-1.19497240266839,0.299,0.642,1.91539809836975e-65,ERN1,CD8 T-Cell,Cl_1_3,TRUE
UNC5B-AS1_CD8 T-Cell,7.34768092356493e-70,-2.17212319449821,0.051,0.262,2.68939817164324e-65,UNC5B-AS1,CD8 T-Cell,Cl_1_3,TRUE
RBP1_CD8 T-Cell,7.78575410690367e-70,6.23217469920626,0.294,0.007,2.84974171820888e-65,RBP1,CD8 T-Cell,Cl_1_3,TRUE
FCMR_CD8 T-Cell,1.62918676607665e-69,-1.16572125619527,0.363,0.684,5.96314940119377e-65,FCMR,CD8 T-Cell,Cl_1_3,TRUE
LY6E_CD8 T-Cell,1.8688632278958e-69,-0.747206461999194,0.769,0.929,6.84041318674419e-65,LY6E,CD8 T-Cell,Cl_1_3,TRUE
RPS4X_CD8 T-Cell,6.90439011325744e-69,-0.40437983743147,0.995,0.997,2.52714486925449e-64,RPS4X,CD8 T-Cell,Cl_1_3,FALSE
NKG7_CD8 T-Cell,2.94061632220783e-68,-0.632878858455203,0.989,0.998,1.07632438625451e-63,NKG7,CD8 T-Cell,Cl_1_3,TRUE
ANK3_CD8 T-Cell,4.15075471872308e-68,-1.4359919997591,0.206,0.519,1.51925924214702e-63,ANK3,CD8 T-Cell,Cl_1_3,TRUE
MTSS1_CD8 T-Cell,5.26004780453928e-68,1.57341094314472,0.615,0.369,1.92528269741747e-63,MTSS1,CD8 T-Cell,Cl_1_3,TRUE
LINC00861_CD8 T-Cell,2.44798718338675e-67,-1.35220868292697,0.146,0.439,8.96012268863217e-63,LINC00861,CD8 T-Cell,Cl_1_3,TRUE
SYTL2_CD8 T-Cell,5.05852004816547e-67,2.39523416573731,0.451,0.149,1.85151950802953e-62,SYTL2,CD8 T-Cell,Cl_1_3,TRUE
GAS5_CD8 T-Cell,2.11834401830917e-66,-0.938162813160512,0.567,0.844,7.75356277581522e-62,GAS5,CD8 T-Cell,Cl_1_3,TRUE
SERPINB9_CD8 T-Cell,1.02901218999509e-65,-1.69255894750681,0.111,0.366,3.76639041782003e-61,SERPINB9,CD8 T-Cell,Cl_1_3,TRUE
PACSIN1_CD8 T-Cell,1.81694192488017e-64,-2.21576881520531,0.053,0.251,6.65037083344639e-60,PACSIN1,CD8 T-Cell,Cl_1_3,TRUE
SIPA1_CD8 T-Cell,1.89541441853082e-64,-1.38985849184624,0.189,0.486,6.93759585470652e-60,SIPA1,CD8 T-Cell,Cl_1_3,TRUE
MT-CO3_CD8 T-Cell,2.87592918409618e-64,-1.0014680821512,0.753,0.901,1.05264759996288e-59,MT-CO3,CD8 T-Cell,Cl_1_3,TRUE
LYST_CD8 T-Cell,1.52584381983818e-63,-0.970543480651573,0.497,0.779,5.5848935493717e-59,LYST,CD8 T-Cell,Cl_1_3,TRUE
CNN2_CD8 T-Cell,3.50494184268905e-63,-0.732246775330038,0.809,0.931,1.28287881326105e-58,CNN2,CD8 T-Cell,Cl_1_3,TRUE
CMC1_CD8 T-Cell,2.43022696387322e-62,-0.765994881403584,0.762,0.923,8.89511673316875e-58,CMC1,CD8 T-Cell,Cl_1_3,TRUE
RPL13_CD8 T-Cell,3.25248647659297e-62,-0.364192795052583,0.997,1,1.19047510016256e-57,RPL13,CD8 T-Cell,Cl_1_3,FALSE
PI16_CD8 T-Cell,4.69948723578294e-62,9.35778747109341,0.257,0,1.72010631804127e-57,PI16,CD8 T-Cell,Cl_1_3,TRUE
S100A10_CD8 T-Cell,7.1168046178238e-62,0.616519151451434,0.976,0.944,2.60489282621587e-57,S100A10,CD8 T-Cell,Cl_1_3,TRUE
FLNB_CD8 T-Cell,2.65157274068538e-61,1.95439567234937,0.487,0.209,9.70528654545661e-57,FLNB,CD8 T-Cell,Cl_1_3,TRUE
RCBTB2_CD8 T-Cell,3.67963447712321e-61,3.77268518811729,0.307,0.036,1.34681981131664e-56,RCBTB2,CD8 T-Cell,Cl_1_3,TRUE
RACK1_CD8 T-Cell,3.96480656104701e-61,-0.370361767132004,0.988,0.998,1.45119849747443e-56,RACK1,CD8 T-Cell,Cl_1_3,FALSE
LAPTM5_CD8 T-Cell,4.83580302586767e-61,-0.596525807096605,0.873,0.969,1.77000062352808e-56,LAPTM5,CD8 T-Cell,Cl_1_3,TRUE
DENND2D_CD8 T-Cell,8.76677371143707e-60,-1.3015410008772,0.303,0.58,3.20881451386019e-55,DENND2D,CD8 T-Cell,Cl_1_3,TRUE
ITGB2_CD8 T-Cell,3.68277399893977e-59,-0.544021347897632,0.897,0.974,1.34796893909194e-54,ITGB2,CD8 T-Cell,Cl_1_3,FALSE
CD8A_CD8 T-Cell,9.36155484601389e-59,1.89774097938623,0.507,0.231,3.42651630473801e-54,CD8A,CD8 T-Cell,Cl_1_3,TRUE
SOX4_CD8 T-Cell,3.22311432030412e-58,-1.4036737409408,0.145,0.404,1.17972430351772e-53,SOX4,CD8 T-Cell,Cl_1_3,TRUE
CD44_CD8 T-Cell,1.50837225226669e-57,0.957974235971233,0.773,0.622,5.52094411774654e-53,CD44,CD8 T-Cell,Cl_1_3,TRUE
KDSR_CD8 T-Cell,2.73884880916141e-57,3.53312599006402,0.3,0.039,1.00247344112926e-52,KDSR,CD8 T-Cell,Cl_1_3,TRUE
TTN_CD8 T-Cell,3.98156220138381e-57,1.57068395047274,0.618,0.412,1.4573313969505e-52,TTN,CD8 T-Cell,Cl_1_3,TRUE
FXYD2_CD8 T-Cell,1.21909948348594e-56,0.748491029460665,0.931,0.891,4.46214792945522e-52,FXYD2,CD8 T-Cell,Cl_1_3,TRUE
NELL2_CD8 T-Cell,5.50412224630985e-56,-1.22263298676252,0.17,0.441,2.01461882459433e-51,NELL2,CD8 T-Cell,Cl_1_3,TRUE
MGST3_CD8 T-Cell,2.16145450006631e-55,1.76196359366752,0.482,0.214,7.91135576114272e-51,MGST3,CD8 T-Cell,Cl_1_3,TRUE
PELI1_CD8 T-Cell,2.88321227258677e-55,-1.3033549775339,0.169,0.437,1.05531335601221e-50,PELI1,CD8 T-Cell,Cl_1_3,TRUE
CD38_CD8 T-Cell,3.0448428689684e-55,-1.79264245831842,0.07,0.267,1.11447338689981e-50,CD38,CD8 T-Cell,Cl_1_3,TRUE
SMARCA2_CD8 T-Cell,2.42729502870035e-54,1.5093751352356,0.573,0.369,8.88438526404902e-50,SMARCA2,CD8 T-Cell,Cl_1_3,TRUE
MAP3K5_CD8 T-Cell,3.09657813561949e-54,-1.40827191893258,0.152,0.405,1.13340952919945e-49,MAP3K5,CD8 T-Cell,Cl_1_3,TRUE
HLA-B_CD8 T-Cell,7.47327422666623e-54,0.258874587312745,1,1,2.73536783244437e-49,HLA-B,CD8 T-Cell,Cl_1_3,FALSE
RPS26_CD8 T-Cell,7.90378479171609e-54,-0.473994267559667,0.956,0.99,2.89294330946392e-49,RPS26,CD8 T-Cell,Cl_1_3,FALSE
FCRL3_CD8 T-Cell,1.52734741552465e-53,-1.68779294203993,0.075,0.276,5.59039701030332e-49,FCRL3,CD8 T-Cell,Cl_1_3,TRUE
RPL36A_CD8 T-Cell,5.01851101169004e-53,-0.527186304586357,0.95,0.997,1.83687540049879e-48,RPL36A,CD8 T-Cell,Cl_1_3,FALSE
CPNE2_CD8 T-Cell,6.51955494956644e-53,-1.62665039038346,0.107,0.325,2.38628750264031e-48,CPNE2,CD8 T-Cell,Cl_1_3,TRUE
AHNAK_CD8 T-Cell,1.10683522692163e-52,0.911999203057977,0.818,0.727,4.05123829757854e-48,AHNAK,CD8 T-Cell,Cl_1_3,TRUE
APOBEC3H_CD8 T-Cell,1.71149429981589e-52,-1.94102235491038,0.068,0.256,6.26441143618611e-48,APOBEC3H,CD8 T-Cell,Cl_1_3,TRUE
PRKCH_CD8 T-Cell,1.78514295863609e-52,-0.761219115069356,0.592,0.84,6.53398025719981e-48,PRKCH,CD8 T-Cell,Cl_1_3,TRUE
RPL7A_CD8 T-Cell,2.59791204393929e-52,-0.305131823044602,0.995,1,9.50887766322659e-48,RPL7A,CD8 T-Cell,Cl_1_3,FALSE
MT-CO2_CD8 T-Cell,2.64359531513803e-52,-0.738279743565121,0.86,0.922,9.6760875724682e-48,MT-CO2,CD8 T-Cell,Cl_1_3,TRUE
ALPK2_CD8 T-Cell,3.05081453753088e-52,1.83645059508703,0.461,0.2,1.11665913702705e-47,ALPK2,CD8 T-Cell,Cl_1_3,TRUE
PDCD1_CD8 T-Cell,4.65092190826513e-52,-1.64669650430851,0.086,0.291,1.7023304368632e-47,PDCD1,CD8 T-Cell,Cl_1_3,TRUE
CAMK4_CD8 T-Cell,3.07815363372568e-51,1.52493740225842,0.541,0.292,1.12666579301627e-46,CAMK4,CD8 T-Cell,Cl_1_3,TRUE
PDXK_CD8 T-Cell,3.13265905435237e-51,-1.51206872104576,0.112,0.333,1.14661586707405e-46,PDXK,CD8 T-Cell,Cl_1_3,TRUE
PTPRCAP_CD8 T-Cell,3.9553860034604e-51,-0.532560922078475,0.973,0.994,1.44775038498657e-46,PTPRCAP,CD8 T-Cell,Cl_1_3,FALSE
RPL18A_CD8 T-Cell,8.51835854613201e-51,-0.327651578894184,0.996,1,3.11788959505524e-46,RPL18A,CD8 T-Cell,Cl_1_3,FALSE
OSTF1_CD8 T-Cell,3.8147036659607e-50,1.11719725209352,0.661,0.486,1.39625783581494e-45,OSTF1,CD8 T-Cell,Cl_1_3,TRUE
AC013652.1_CD8 T-Cell,7.87370334052436e-49,3.41424938874148,0.277,0.046,2.88193289669873e-44,AC013652.1,CD8 T-Cell,Cl_1_3,TRUE
ADGRG1_CD8 T-Cell,4.91877491867097e-48,2.34005906429266,0.37,0.126,1.80036999573195e-43,ADGRG1,CD8 T-Cell,Cl_1_3,TRUE
COTL1_CD8 T-Cell,2.14373804215748e-47,-0.639247623108183,0.811,0.952,7.84650998190482e-43,COTL1,CD8 T-Cell,Cl_1_3,TRUE
SFRP4_CD8 T-Cell,5.72818269198998e-47,3.36730536012751,0.282,0.057,2.09662942892217e-42,SFRP4,CD8 T-Cell,Cl_1_3,TRUE
RUNX2_CD8 T-Cell,6.85211469368557e-47,1.4070345904111,0.552,0.334,2.50801102018279e-42,RUNX2,CD8 T-Cell,Cl_1_3,TRUE
MBP_CD8 T-Cell,7.52941691255417e-47,1.68520992638262,0.476,0.246,2.75591717833308e-42,MBP,CD8 T-Cell,Cl_1_3,TRUE
RPS18_CD8 T-Cell,1.35752367302977e-46,-0.352727282946162,0.995,0.998,4.96880814802358e-42,RPS18,CD8 T-Cell,Cl_1_3,FALSE
MT-CO1_CD8 T-Cell,1.53808952782769e-46,-0.666483184124115,0.903,0.953,5.6297152897549e-42,MT-CO1,CD8 T-Cell,Cl_1_3,TRUE
SORL1_CD8 T-Cell,2.1978460051397e-46,-1.76164050951391,0.074,0.254,8.04455594801231e-42,SORL1,CD8 T-Cell,Cl_1_3,TRUE
SLC9A9_CD8 T-Cell,3.80271442879924e-46,1.68708558400593,0.496,0.291,1.3918695352291e-41,SLC9A9,CD8 T-Cell,Cl_1_3,TRUE
ARAP2_CD8 T-Cell,3.83159969598265e-46,-0.966736863280179,0.248,0.526,1.40244212072357e-41,ARAP2,CD8 T-Cell,Cl_1_3,TRUE
UTRN_CD8 T-Cell,4.55687523701303e-46,1.04872531085291,0.685,0.545,1.66790747425151e-41,UTRN,CD8 T-Cell,Cl_1_3,TRUE
JMY_CD8 T-Cell,1.21242513149733e-45,1.91054832054279,0.398,0.155,4.43771846630652e-41,JMY,CD8 T-Cell,Cl_1_3,TRUE
RPL6_CD8 T-Cell,5.95410204474509e-45,-0.31311128498284,0.996,0.999,2.1793204304176e-40,RPL6,CD8 T-Cell,Cl_1_3,FALSE
GZMH_CD8 T-Cell,8.12211282322155e-45,0.844599241557185,0.817,0.7,2.97285573555555e-40,GZMH,CD8 T-Cell,Cl_1_3,TRUE
DGKH_CD8 T-Cell,1.09222109977921e-44,-1.52141705544114,0.074,0.255,3.99774766941188e-40,DGKH,CD8 T-Cell,Cl_1_3,TRUE
RPL12_CD8 T-Cell,1.44001078619262e-44,-0.309452142781959,0.992,0.998,5.27072747962221e-40,RPL12,CD8 T-Cell,Cl_1_3,FALSE
