,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,feature,cluster,group.1,significant
ADAR_CD8 T-Cell,0.147208924250581,0.00189621209730917,0.563,0.648,1,ADAR,CD8 T-Cell,Cl_1_3,FALSE
PHC3_CD8 T-Cell,0.147308136675543,0.211662121907138,0.395,0.399,1,PHC3,CD8 T-Cell,Cl_1_3,FALSE
XRCC6_CD8 T-Cell,0.147360720215856,-0.0649890830344007,0.561,0.644,1,XRCC6,CD8 T-Cell,Cl_1_3,FALSE
TMEM160_CD8 T-Cell,0.148580356564653,0.207769069382929,0.455,0.485,1,TMEM160,CD8 T-Cell,Cl_1_3,FALSE
SNX1_CD8 T-Cell,0.149966452734262,0.0889385811447051,0.262,0.309,1,SNX1,CD8 T-Cell,Cl_1_3,FALSE
RPA3_CD8 T-Cell,0.150127066540265,-0.0101989963609846,0.227,0.263,1,RPA3,CD8 T-Cell,Cl_1_3,FALSE
TMUB1_CD8 T-Cell,0.15060084895803,0.0304528326500631,0.378,0.447,1,TMUB1,CD8 T-Cell,Cl_1_3,FALSE
TFDP1_CD8 T-Cell,0.150713813973883,0.0542983962607476,0.269,0.316,1,TFDP1,CD8 T-Cell,Cl_1_3,FALSE
SEPTIN2_CD8 T-Cell,0.15150823261127,0.277639405032984,0.385,0.399,1,SEPTIN2,CD8 T-Cell,Cl_1_3,FALSE
TXNL4A_CD8 T-Cell,0.152080842956828,-0.00924995316252097,0.597,0.685,1,TXNL4A,CD8 T-Cell,Cl_1_3,FALSE
SZRD1_CD8 T-Cell,0.152282663444933,0.0914545719443796,0.269,0.317,1,SZRD1,CD8 T-Cell,Cl_1_3,FALSE
HNRNPUL2_CD8 T-Cell,0.153556053745704,-0.051544893928623,0.348,0.395,1,HNRNPUL2,CD8 T-Cell,Cl_1_3,FALSE
TTC14_CD8 T-Cell,0.154834314324188,0.0716448537801656,0.247,0.291,1,TTC14,CD8 T-Cell,Cl_1_3,FALSE
MOGS_CD8 T-Cell,0.154993307235953,0.119940394066446,0.212,0.251,1,MOGS,CD8 T-Cell,Cl_1_3,FALSE
GOLGB1_CD8 T-Cell,0.155077958139957,0.123640119425236,0.288,0.341,1,GOLGB1,CD8 T-Cell,Cl_1_3,FALSE
TRPV2_CD8 T-Cell,0.15706800929713,0.0238353466700708,0.265,0.311,1,TRPV2,CD8 T-Cell,Cl_1_3,FALSE
USP10_CD8 T-Cell,0.157615750001692,0.3558953906543,0.286,0.283,1,USP10,CD8 T-Cell,Cl_1_3,FALSE
ZNF24_CD8 T-Cell,0.158813206717125,0.0764130266909917,0.245,0.287,1,ZNF24,CD8 T-Cell,Cl_1_3,FALSE
TMA7_CD8 T-Cell,0.158826251395719,-0.0138732147712717,0.966,0.978,1,TMA7,CD8 T-Cell,Cl_1_3,FALSE
EIF3D_CD8 T-Cell,0.159399599241648,-0.0175106503495374,0.517,0.598,1,EIF3D,CD8 T-Cell,Cl_1_3,FALSE
PDCD7_CD8 T-Cell,0.159639657712362,0.330301790880481,0.287,0.288,1,PDCD7,CD8 T-Cell,Cl_1_3,FALSE
C18orf32_CD8 T-Cell,0.160184953089321,0.0901496718401503,0.296,0.352,1,C18orf32,CD8 T-Cell,Cl_1_3,FALSE
DUS1L_CD8 T-Cell,0.160219152637716,0.0282324707829648,0.29,0.341,1,DUS1L,CD8 T-Cell,Cl_1_3,FALSE
PUF60_CD8 T-Cell,0.160744510175349,0.0189363876329575,0.395,0.465,1,PUF60,CD8 T-Cell,Cl_1_3,FALSE
RALBP1_CD8 T-Cell,0.161436222106909,0.126746696103249,0.268,0.319,1,RALBP1,CD8 T-Cell,Cl_1_3,FALSE
EIF3F_CD8 T-Cell,0.162649419405035,0.119150713921347,0.85,0.882,1,EIF3F,CD8 T-Cell,Cl_1_3,FALSE
SERINC3_CD8 T-Cell,0.163026356217688,0.268820919321158,0.348,0.361,1,SERINC3,CD8 T-Cell,Cl_1_3,FALSE
UPF3A_CD8 T-Cell,0.163638078372321,0.0791897414211466,0.306,0.357,1,UPF3A,CD8 T-Cell,Cl_1_3,FALSE
RHOT2_CD8 T-Cell,0.163957222634616,0.0429816847122434,0.224,0.264,1,RHOT2,CD8 T-Cell,Cl_1_3,FALSE
RNASEH2B_CD8 T-Cell,0.16408190183133,0.315689356325086,0.337,0.345,1,RNASEH2B,CD8 T-Cell,Cl_1_3,FALSE
CMPK1_CD8 T-Cell,0.164399993096208,-0.0112838809920525,0.42,0.494,1,CMPK1,CD8 T-Cell,Cl_1_3,FALSE
AFF1_CD8 T-Cell,0.165031774765052,0.327647531319162,0.285,0.281,1,AFF1,CD8 T-Cell,Cl_1_3,FALSE
GABPB1-IT1_CD8 T-Cell,0.165567738926964,0.45504989113708,0.258,0.261,1,GABPB1-IT1,CD8 T-Cell,Cl_1_3,FALSE
SASH3_CD8 T-Cell,0.165662879465542,-0.0222408262053211,0.433,0.497,1,SASH3,CD8 T-Cell,Cl_1_3,FALSE
SNX20_CD8 T-Cell,0.166928598502111,0.359952876989519,0.265,0.259,1,SNX20,CD8 T-Cell,Cl_1_3,FALSE
SP3_CD8 T-Cell,0.167261837729601,0.044667456160649,0.327,0.388,1,SP3,CD8 T-Cell,Cl_1_3,FALSE
PRPF4B_CD8 T-Cell,0.16757447834447,0.0362435003238233,0.383,0.455,1,PRPF4B,CD8 T-Cell,Cl_1_3,FALSE
ARHGAP25_CD8 T-Cell,0.167670444809457,-0.0435685506717635,0.434,0.49,1,ARHGAP25,CD8 T-Cell,Cl_1_3,FALSE
NCOA2_CD8 T-Cell,0.16773504059918,0.279023355447125,0.282,0.275,1,NCOA2,CD8 T-Cell,Cl_1_3,FALSE
PABPN1_CD8 T-Cell,0.168909727747342,0.101911326460676,0.582,0.611,1,PABPN1,CD8 T-Cell,Cl_1_3,FALSE
PLEKHO1_CD8 T-Cell,0.168981396715432,0.363595255315608,0.275,0.276,1,PLEKHO1,CD8 T-Cell,Cl_1_3,FALSE
RNMT_CD8 T-Cell,0.169987599233558,0.0979630269737899,0.251,0.297,1,RNMT,CD8 T-Cell,Cl_1_3,FALSE
VMP1_CD8 T-Cell,0.171054767291088,0.0872594077700412,0.266,0.314,1,VMP1,CD8 T-Cell,Cl_1_3,FALSE
RUNX3_CD8 T-Cell,0.171828371012971,-0.0132640010312512,0.694,0.788,1,RUNX3,CD8 T-Cell,Cl_1_3,FALSE
ZFAND3_CD8 T-Cell,0.172121323441703,0.289028860413957,0.381,0.389,1,ZFAND3,CD8 T-Cell,Cl_1_3,FALSE
OS9_CD8 T-Cell,0.172414934902954,0.0389031529350804,0.382,0.453,1,OS9,CD8 T-Cell,Cl_1_3,FALSE
PSMD11_CD8 T-Cell,0.172957685581835,0.0537729081606978,0.231,0.272,1,PSMD11,CD8 T-Cell,Cl_1_3,FALSE
